2023/02/09 12:49:09 Connecting to wss://ws.okx.com:8443/ws/v5/public?compress=true
2023/02/09 12:49:10 TextMsg: {"event":"subscribe","arg":{"channel":"books5","instId":"BTC-USDT"}}
2023/02/09 12:49:10 TextMsg: {"event":"subscribe","arg":{"channel":"books5","instId":"BTC-USD-230331"}}
2023/02/09 12:49:25 Send Msg: ping
2023/02/09 12:49:40 Send Msg: ping
2023/02/09 12:49:55 Send Msg: ping
2023/02/09 12:50:10 Send Msg: ping
2023/02/09 12:50:25 Send Msg: ping
2023/02/09 12:50:40 Send Msg: ping
2023/02/09 12:50:55 Send Msg: ping
2023/02/09 12:51:10 Send Msg: ping
2023/02/09 12:51:25 Send Msg: ping
2023/02/09 12:51:40 Send Msg: ping
2023/02/09 12:51:55 Send Msg: ping
2023/02/09 12:52:10 Send Msg: ping
2023/02/09 12:52:25 Send Msg: ping
2023/02/09 12:52:40 Send Msg: ping
2023/02/09 12:52:55 Send Msg: ping
2023/02/09 12:53:10 Send Msg: ping
2023/02/09 12:53:25 Send Msg: ping
2023/02/09 12:53:40 Send Msg: ping
2023/02/09 12:53:55 Send Msg: ping
2023/02/09 12:54:10 Send Msg: ping
2023/02/09 12:54:25 Send Msg: ping
2023/02/09 12:54:40 Send Msg: ping
2023/02/09 12:54:55 Send Msg: ping
2023/02/09 12:55:10 Send Msg: ping
2023/02/09 12:55:25 Send Msg: ping
2023/02/09 12:55:40 Send Msg: ping
2023/02/09 12:55:55 Send Msg: ping
2023/02/09 12:56:10 Send Msg: ping
2023/02/09 12:56:25 Send Msg: ping
2023/02/09 12:56:40 Send Msg: ping
2023/02/09 12:56:55 Send Msg: ping
2023/02/09 12:57:10 Send Msg: ping
2023/02/09 12:57:25 Send Msg: ping
2023/02/09 12:57:40 Send Msg: ping
2023/02/09 12:57:55 Send Msg: ping
2023/02/09 12:58:10 Send Msg: ping
2023/02/09 12:58:25 Send Msg: ping
2023/02/09 12:58:40 Send Msg: ping
2023/02/09 12:58:55 Send Msg: ping
2023/02/09 12:59:10 Send Msg: ping
2023/02/09 12:59:25 Send Msg: ping
2023/02/09 12:59:40 Send Msg: ping
2023/02/09 12:59:55 Send Msg: ping
2023/02/09 13:00:10 Send Msg: ping
2023/02/09 13:00:25 Send Msg: ping
2023/02/09 13:00:40 Send Msg: ping
2023/02/09 13:00:55 Send Msg: ping
2023/02/09 13:01:10 Send Msg: ping
2023/02/09 13:01:25 Send Msg: ping
2023/02/09 13:01:40 Send Msg: ping
2023/02/09 13:01:55 Send Msg: ping
2023/02/09 13:02:10 Send Msg: ping
2023/02/09 13:02:25 Send Msg: ping
2023/02/09 13:02:40 Send Msg: ping
2023/02/09 13:02:55 Send Msg: ping
2023/02/09 13:03:10 Send Msg: ping
2023/02/09 13:03:25 Send Msg: ping
2023/02/09 13:03:40 Send Msg: ping
2023/02/09 13:03:55 Send Msg: ping
2023/02/09 13:04:10 Send Msg: ping
2023/02/09 13:04:25 Send Msg: ping
2023/02/09 13:04:40 Send Msg: ping
2023/02/09 13:04:55 Send Msg: ping
2023/02/09 13:05:10 Send Msg: ping
2023/02/09 13:05:25 Send Msg: ping
2023/02/09 13:05:40 Send Msg: ping
2023/02/09 13:05:55 Send Msg: ping
2023/02/09 13:06:10 Send Msg: ping
2023/02/09 13:06:25 Send Msg: ping
2023/02/09 13:06:40 Send Msg: ping
2023/02/09 13:06:55 Send Msg: ping
2023/02/09 13:07:10 Send Msg: ping
2023/02/09 13:07:25 Send Msg: ping
2023/02/09 13:07:40 Send Msg: ping
2023/02/09 13:07:55 Send Msg: ping
2023/02/09 13:08:10 Send Msg: ping
2023/02/09 13:08:25 Send Msg: ping
2023/02/09 13:08:40 Send Msg: ping
2023/02/09 13:08:55 Send Msg: ping
2023/02/09 13:09:10 Send Msg: ping
2023/02/09 13:09:25 Send Msg: ping
2023/02/09 13:09:40 Send Msg: ping
2023/02/09 13:09:55 Send Msg: ping
2023/02/09 13:10:10 Send Msg: ping
2023/02/09 13:10:25 Send Msg: ping
2023/02/09 13:10:40 Send Msg: ping
2023/02/09 13:10:55 Send Msg: ping
2023/02/09 13:11:10 Send Msg: ping
2023/02/09 13:11:25 Send Msg: ping
2023/02/09 13:11:40 Send Msg: ping
2023/02/09 13:11:55 Send Msg: ping
2023/02/09 13:12:10 Send Msg: ping
2023/02/09 13:12:25 Send Msg: ping
2023/02/09 13:12:40 Send Msg: ping
2023/02/09 13:12:55 Send Msg: ping
2023/02/09 13:13:10 Send Msg: ping
2023/02/09 13:13:25 Send Msg: ping
2023/02/09 13:13:40 Send Msg: ping
2023/02/09 13:13:55 Send Msg: ping
2023/02/09 13:14:10 Send Msg: ping
2023/02/09 13:14:25 Send Msg: ping
2023/02/09 13:14:40 Send Msg: ping
2023/02/09 13:14:55 Send Msg: ping
2023/02/09 13:15:10 Send Msg: ping
2023/02/09 13:15:25 Send Msg: ping
2023/02/09 13:15:40 Send Msg: ping
2023/02/09 13:15:55 Send Msg: ping
2023/02/09 13:16:10 Send Msg: ping
2023/02/09 13:16:25 Send Msg: ping
2023/02/09 13:16:40 Send Msg: ping
2023/02/09 13:16:55 Send Msg: ping
2023/02/09 13:17:10 Send Msg: ping
2023/02/09 13:17:25 Send Msg: ping
2023/02/09 13:17:40 Send Msg: ping
2023/02/09 13:17:55 Send Msg: ping
2023/02/09 13:18:10 Send Msg: ping
2023/02/09 13:18:25 Send Msg: ping
2023/02/09 13:18:40 Send Msg: ping
2023/02/09 13:18:55 Send Msg: ping
2023/02/09 13:19:10 Send Msg: ping
2023/02/09 13:19:25 Send Msg: ping
2023/02/09 13:19:40 Send Msg: ping
